image_path,image_id,sequence,frame_id,viewer,human_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_m,distance_m,distance_class_3,depth_source,scene_type,recording,worker_key
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000000.png,Garage1_000000,Garage1,0,rgb,Garage1_000000#1,477.025391,402.486053,577.699890,719.470703,2.978516,2.978516,<3,conf2,indoor_garage,Garage1,Garage1_000000#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000036.png,Garage1_000036,Garage1,36,rgb,Garage1_000036#1,357.853760,404.487213,487.248688,719.612427,3.447266,3.447266,3-5,conf2,indoor_garage,Garage1,Garage1_000036#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000060.png,Garage1_000060,Garage1,60,rgb,Garage1_000060#1,336.193817,401.155060,441.536407,718.250488,3.806641,3.806641,3-5,conf2,indoor_garage,Garage1,Garage1_000060#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000108.png,Garage1_000108,Garage1,108,rgb,Garage1_000108#1,269.335327,405.609131,374.014160,678.372131,4.574219,4.574219,3-5,conf2,indoor_garage,Garage1,Garage1_000108#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000132.png,Garage1_000132,Garage1,132,rgb,Garage1_000132#1,233.615387,404.873840,314.444916,658.944946,4.839844,4.839844,3-5,conf2,indoor_garage,Garage1,Garage1_000132#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000588.png,Garage1_000588,Garage1,588,rgb,Garage1_000588#1,700.881592,414.390808,763.354126,588.983582,6.722656,6.722656,>5,conf2,indoor_garage,Garage1,Garage1_000588#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000612.png,Garage1_000612,Garage1,612,rgb,Garage1_000612#1,644.026245,408.587555,718.335754,586.699341,7.039062,7.039062,>5,conf2,indoor_garage,Garage1,Garage1_000612#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000672.png,Garage1_000672,Garage1,672,rgb,Garage1_000672#1,537.148315,410.565582,587.630249,578.718994,7.257812,7.257812,>5,conf2,indoor_garage,Garage1,Garage1_000672#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000720.png,Garage1_000720,Garage1,720,rgb,Garage1_000720#1,475.238159,409.725769,523.098816,567.071411,,,>5,none,indoor_garage,Garage1,Garage1_000720#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000804.png,Garage1_000804,Garage1,804,rgb,Garage1_000804#1,428.280701,405.547485,463.685364,546.510132,8.656250,8.656250,>5,conf1,indoor_garage,Garage1,Garage1_000804#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_000984.png,Garage1_000984,Garage1,984,rgb,Garage1_000984#1,339.910339,411.456116,416.585815,633.978516,5.585938,5.585938,>5,conf2,indoor_garage,Garage1,Garage1_000984#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001008.png,Garage1_001008,Garage1,1008,rgb,Garage1_001008#1,323.295471,408.933929,403.479187,645.791626,5.195312,5.195312,>5,conf2,indoor_garage,Garage1,Garage1_001008#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001056.png,Garage1_001056,Garage1,1056,rgb,Garage1_001056#1,237.971649,405.059265,362.818542,686.654297,4.480469,4.480469,3-5,conf2,indoor_garage,Garage1,Garage1_001056#1
C:\Users\jiahu\OneDrive\Documents\human_detect\work-zone-safety-rgbd-dataset\images\Garage1_001380.png,Garage1_001380,Garage1,1380,rgb,Garage1_001380#1,341.329590,406.690613,489.062134,692.110291,4.250000,4.250000,3-5,conf2,indoor_garage,Garage1,Garage1_001380#1
